text,label
اتليتيكو مدريد في نهائي دوري الأبطال رغم خسارته من بايرن ميونيخ,1
كريستيانو يتضامن مع الصحفي الفلسطيني و أهل غزة ❤️❤️,0
أقر انا (محمد بن زايد آل نهيان) بتقديم صدقات وجوائز مالية، علي روح والدي (زايد بن سلطان آل نهيان) رحمة الله عليه إرسل رسالة من خلال الضغط علي هذا “الرابط” بالأسفل لإستلام الجائزة الخاصة بك.. ونتمني منك ومن جميع شعوب الوطن العربي بالدعوة للشيخ زايد رحمة الله عليه بالرحمة والمغفرة.,0
الرئيس الفرنسي إيمانويل ماكرون قبل 30 سنة، يرقص مع زوجته الحالية بريجيت ترونيو.,0
الكحول مصدر أرخص وأنظف للطاقة,1
إسرائيل تمنع وفد حماس من الذهاب إلى القاهرة,1
المعارضة السورية تسيطر على بلدة الراعي الاستراتيجية,1
مروحيات إسرائيلية تغير على غزة,1
"أفيخاي أدرعي يقول ""لا يقاتلنا اليوم إلا الإخوان المسلمين، سنسحقهم ونرتاح، فساعدونا يا إخواننا العرب في هذه المعركة الأخيرة"".",0
مقتل خمسة في اشتباكات بطرابلس,1
الجوع يهدد أمن جنوبي السودان,1
"اجتماع "" أصدقاء سوريا"" : الاتفاق على تقديم ""دعم عاجل"" للمعارضة لتغيير ميزان القوى",1
الذهب يتجه لأعلى سعر منذ 30 عاما,1
العراق: اغتيال عضو مجلس بلدي وشخصين آخرين في حوادث متفرقة,1
"أكد مهتمون بعلم الفلك و”نظريات المؤامرة”، إن الحياة على كوكب الأرض ستنتهي في أسابيع قليلة، بسبب اصطدام كوكب غامض بالأرض.

وأوضحت “سكاي نيوز”، نقلا عن صحيفة “ديلي ميل” البريطانية، أن الخبير في علم الأعداد دافيد ميد، أكد أن الكسوف الشمسي هذا الشهر سيكون مقدمة لاصطدام كوكب يسمى “نيبيرو” مع الأرض.

وأضاف ميد، أن الكسوف الشمسي السابق كان بمثابة إنذار، وأن الكوكب “نيبيرو” سيبرز في السماء عقب الكسوف المقبل، وسيصطدم بالأرض في سبتمبر المقبل، وذلك في الوقت الذي نفت وكالة الفضاء الأميركية “ناسا” في وقت سابق، وجود كوكب يسمى “نيبيرو” واعتبرته خدعة جار تداولها عبر الإنترنت.",0
"صخرة غريبة وجدوها بولاية تيكساس كسروها واكتشفوا داخلها مطرقة حديدية ،،، فحصها العلماء ووجدوا أن عمرها 400 مليون عام ،،، الصخرة جعلتهم في حيرة لأنهم افترضوا أن شخصً ما صنعها آنذاك
ويعني ذلك إما أن تاريخ الأرض المدون غير صحيح أو أن مخلوقات عاقلة عاشت على الأرض آنذاك ثم انقرضت أو غادرت الأرض",0
بوش يغسل يديه من عرفات,1
انضمام الجبل الأسود للناتو قريبا,1
مستوى قياسي لمؤشر الفاو للغذاء,1
"وفاة عادل الإمام بعد إصابته بمرض الزهايمر، وصور لجنازته.
",0
المهاجرون يتدفقون على وسط أوروبا رغم محاولات إيقافهم,1
حملة باليونان لكسر حصار غزة,1
"على ""آبل"" أن تركز للاستحواذ على شركات كبيرة",1
"مركز المصالحة الروسي يتلقى نداءات من السوريين في إدلب لمساعدتهم على العودة إلى ديارهم في المناطق التي تسيطر عليها الحكومة السورية.
",0
البرتغال تقر مزيدا من التقشف,1
حتى وإن حصل انقلاب، كما يدعي ذباب بعض دول الحصار، فهذا شأن داخلي. قد لا نتفق أنا وأخي تميم في بعض الملفات الداخلية، وقد يفوز أو أفوز بها أحياناً، لكن في النهاية نحن أسرة متماسكة من أصغر فرد لأكبرهم، والحكم يبقى في يد الأجدر,0
تضرر 80 ألف منزل بزلزال سومطرة,1
"صنداي تلغراف: قطر ""يجب ان تحرم من تنظيم كأس العالم لصلتها بالارهاب""",1
تظاهرة لنشطاء السلام أمام مبنى السفارة الأمريكية في القدس,1
بوتين وماكرون يدعوان إلى الحفاظ على خطة العمل الخاصة بالملف الإيراني,1
وفاة باتريك سيل الصحفي البريطاني والمؤرخ البارز,1
"ارجو من  الجميع مشاركة هذا الفيديو لان الصهاينه طار عقلهم منه وعندما أعلنت قناة الاقصى انها ستنشر هذا الفيديو قصفوا قناة الاقصى ودمروها كونوا انتم قناة الاقصى
نتنياهو يكشف في خطاب له أمام الكنيست تعاونه مع إيران والإخوان المسلمين في قطر وتركيا لتدمير البلاد والجيوش العربية.",0
القاهرة: وزراء خارجية مصر وتونس وليبيا يبحثون تطورات الأوضاع في بلدانهم,1
#ترامب يسرب صوره تجمع هيلاري كلينتون مع  اسامه بن لادن,0
"إسرائيل تشن هجمات داخل سوريا ردا على ""قصف إيراني""",1
متاحف خاصة في بيوت غزة,1
قواعد صحية يجب مراعاتها أثناء الاستجمام على الشواطئ,1
إدارة ترامب تدرس تصنيف الحرس الثوري الإيراني كتنظيم إرهابي,1
مذكرات كومي تكشف عن هواجس ترامب,1
أكبر سرقة في تاريخ بريطانيا,1
التشافيزية.. التجربة التي انتهت بفخ السلطوية في فنزويلا,1
بدء تشييع جثمان فضل الله ببيروت,1
